q,tauTilde,sd
-2.0,-2.2262581915526027,3.246681327200199e-2
-1.9,-2.135293109566648,3.0752628745096395e-2
-1.7999999999999998,-2.044882665038859,2.8979703960218303e-2
-1.6999999999999997,-1.9550428085931155,2.7155491914313018e-2
-1.5999999999999996,-1.8657924158025285,2.5290201317449787e-2
-1.4999999999999996,-1.7771547028188703,2.3396999951494676e-2
-1.3999999999999995,-1.68915875744087,2.149202155456552e-2
-1.2999999999999994,-1.6018410180450928,1.959410138355072e-2
-1.1999999999999993,-1.515246463525225,1.7724184784945793e-2
-1.0999999999999992,-1.4294292282812975,1.5904394395123436e-2
-0.9999999999999991,-1.3444523517414506,1.4156802494317064e-2
-0.899999999999999,-1.26038643309339,1.2502024606690332e-2
-0.7999999999999989,-1.1773070966385395,1.0957810595219037e-2
-0.6999999999999988,-1.0952913680005665,9.537840938965701e-3
-0.5999999999999988,-1.014413282849214,8.250926954111143e-3
-0.49999999999999867,-0.9347392588249406,7.100768119284056e-3
-0.3999999999999986,-0.8563239390555969,6.086358584911774e-3
-0.2999999999999985,-0.7792073918101123,5.203092471015867e-3
-0.1999999999999984,-0.7034148259008683,4.444630254608667e-3
-9.999999999999831e-2,-0.6289605359944117,3.8056695668206414e-3
1.7763568394002505e-15,-0.5558588756430899,3.285799969581728e-3
0.10000000000000187,-0.4841469194300211,2.8940187298341913e-3
0.20000000000000195,-0.41392612058415446,2.6506148683556065e-3
0.30000000000000204,-0.34543270158556766,2.577426038378904e-3
0.40000000000000213,-0.27914496582624754,2.669483704121678e-3
0.5000000000000022,-0.215920774878612,2.863803784339365e-3
0.6000000000000023,-0.15711479088071043,3.0298869699659325e-3
0.7000000000000024,-0.1045487215504371,2.9834971433019813e-3
0.8000000000000025,-6.0159945481031464e-2,2.5282537529349412e-3
0.9000000000000026,-2.5294871397548095e-2,1.532733768428159e-3
1.0000000000000027,4.934324553889585e-16,4.826648004528986e-17
1.1000000000000028,1.7114487418266884e-2,1.944443667061035e-3
1.2000000000000028,2.8289966647655262e-2,4.140099750713176e-3
1.300000000000003,3.580089711090029e-2,6.465687066193222e-3
1.400000000000003,4.1429877662790236e-2,8.853996552894582e-3
1.500000000000003,4.634475574713064e-2,1.1273177271219547e-2
1.6000000000000032,5.1207789956811696e-2,1.3707215790315912e-2
1.7000000000000033,5.634233485649546e-2,1.6145596983543356e-2
1.8000000000000034,6.18726062853141e-2,1.857964477393939e-2
1.9000000000000035,6.781772521944657e-2,2.1001731113263554e-2
2.0000000000000036,7.414770121437561e-2,2.340528070792504e-2
2.100000000000003,8.081399699018672e-2,2.5784833902100124e-2
2.2000000000000037,8.776492606024261e-2,2.8136013492780443e-2
2.3000000000000043,9.495263666171055e-2,3.0455415567421866e-2
2.400000000000004,0.10233569858954178,3.274046821095906e-2
2.5000000000000036,0.10987953667091209,3.4989288296251024e-2
2.600000000000004,0.11755590658604761,3.720055141900431e-2
2.7000000000000046,0.12534202208408132,3.9373380399865376e-2
2.8000000000000043,0.13321962669290188,4.150725281281401e-2
2.900000000000004,0.14117413849981147,4.360192582788285e-2
3.0000000000000044,0.1491939140581676,4.565737592224089e-2
3.100000000000005,0.15726963820700515,4.767375094955771e-2
3.2000000000000046,0.1653938295419195,4.965133227386077e-2
3.3000000000000043,0.17356044526667624,5.159050498538341e-2
3.400000000000005,0.1817645683594297,5.34917345382909e-2
3.5000000000000053,0.19000216143581689,5.535554844821323e-2
3.600000000000005,0.19826987391701806,5.7182521948351925e-2
3.7000000000000046,0.20656489142563098,5.897326672408903e-2
3.800000000000005,0.21488481844160645,6.0728422029650724e-2
3.9000000000000057,0.22322758705471024,6.244864764050035e-2
4.000000000000005,0.23159138613953592,6.413461821636093e-2
