q,tauTilde,sd
-2,-2.4800816638698953,0.032909382678191386
-1.9,-2.379427517709964,0.0311972174550388
-1.8,-2.279080246499036,0.029426347902645224
-1.7,-2.1790724999562965,0.02760425342890386
-1.6,-2.079442668069751,0.025741159821977777
-1.5,-1.9802363891713395,0.02385023283570392
-1.4,-1.881508145898442,0.02194757213880945
-1.3,-1.7833227768106623,0.020051930707385913
-1.2,-1.6857566621985578,0.0181841044392897
-1.1,-1.588898293777637,0.016365978908529956
-1,-1.4928479339889935,0.014619282318523191
-0.9,-1.3977161329263683,0.012964164877579011
-0.8,-1.3036210075963133,0.011417786689607032
-0.7,-1.210684386434539,0.009993128907105476
-0.6,-1.1190271493868913,0.008698233570283946
-0.5,-1.0287643134446605,0.00753602844086653
-0.4,-0.940000610053565,0.006504824185412298
-0.3,-0.8528275103043041,0.005599517078247329
-0.2,-0.7673229863761095,0.0048135324502441845
-0.1,-0.6835559459463268,0.004141630203686778
0,-0.6015984959948822,0.003583789633973342
0.1,-0.5215512051242299,0.0031499855580211997
0.2,-0.4435891949851571,0.0028631073231569445
0.3,-0.36803877388467643,0.0027509175050622493
0.4,-0.29549073263584436,0.002816532801553885
0.5,-0.22693678638931603,0.002999912707364912
0.6,-0.16386568570041513,0.00316241240778867
0.7,-0.1081802937922352,0.0031041433870958564
0.8,-0.06177489948411768,0.0026173504350949974
0.9,-0.02579714617845219,0.001575489039903354
1,-0.0000000000000017618845770981837,0.0000000000000005465911558306234
1.1,0.017281146679756502,0.0019692319003273744
1.2,0.02847336939985335,0.004171312609903653
1.3,0.03594943189915008,0.006492739548022704
1.4,0.04153506902556245,0.00887364602637431
1.5,0.046413535709074985,0.011286046273662996
1.6,0.051250359511821615,0.013715103035011162
1.7,0.056367631778554986,0.016150217521360453
1.8,0.061887174186276886,0.018582265383777267
1.9,0.06782590850296794,0.02100318175370064
2,0.07415220682424487,0.02340606862019782
2.1,0.08081643739770955,0.025785255365454854
2.2,0.08776623007109802,0.02813623611749969
2.3,0.09495332558966307,0.030455531928766696
2.4,0.10233605909073537,0.032740528490602536
2.5,0.1098797237807494,0.034989319287128104
2.6,0.11755600302331726,0.037200567248856786
2.7,0.1253420714881553,0.03937338844075819
2.8,0.133219651869119,0.041507256877823605
2.9,0.14117415127040378,0.04360192787454475
3,0.14919392050971847,0.045657376949107896
3.1,0.1572696414545102,0.04767375146323237
3.2,0.16539383117135595,0.04965133253016909
3.3,0.1735604460819119,0.051590505112997946
3.4,0.18176456876623484,0.053491734601715114
3.5,0.19000216163835304,0.05535554847968659
3.6,0.19826987401764562,0.05718252196394982
3.7,0.20656489147552873,0.058973266731811455
3.8,0.21488481846630514,0.060728422033469766
3.9,0.22322758706691134,0.06244864764238781
4,0.23159138614556163,0.06413461821729315
